Which pop duo was the first western band to play in The Peoples Republic of China?,Wham,Simon and Garfunkel,Chas and Dave,Right Said Fred,A
Timber selected from how many fully grown oak trees were needed to build a large 3 decker Royal Navy battle ship in the 18th century?,50,500,1500,3500,D
Speed skating originated in which country?,Russia,Netherlands,Canada,Norway,B
Off the coast of which country did the Amoco Cadiz sink?,South Africa,France,USA,Spain,B
The song 'An Englishman in New York' was about which man?,Quentin Crisp,Sting,John Lennon,Gordon Sumner,A
In the book The Last Of The Mohicans what was the name of Chingachgook's only son?,Mingo,Lightfoot,Magua,Uncas,D
In which year did Louis Reard invent the bikini?,1906,1926,1946,1966,C
In which continent did the ostrich originate?,Africa,Australia,North America,Asia,A
What are the names of the two main characters in Diana Gabaldon's highland saga novels?,Jamie and Claire,Fergus and Fiona,Rab and Elizabeth,Hamish and Maggie,A
"Julius Caesar said ""The die is cast"" after crossing which river?",Danube,Rubicon,Thames,Tiber,B
Who was the only English player to win the European Golden Boot award? ,Robbie Fowler,Michael Owen,Gary Lineker,Kevin Phillips,D
Doris Day had a sleepy hit with which song?,Pillow talk,Golden slumbers,The beds too big without you,Tears on my pillow,A
Which singer once took a bite out of a Beach Boys record during a press conference?,Robbie Williams,Engelbert Humperdinck,Shane McGowan,James Blunt,C
Who was the first band to play at the Cavern Club?,Swinging Blue Jeans,The Merseysippi,Beatles,Merseybeats,B
What are Lanthanides?,Elements in the periodic table,Mountains on Earth,Mountains on the Moon,Bacterium,A
Which band was not from Liverpool?,Searchers,A Flock of Seagulls,Stone the crows,OMD,C
Which boxer twice defeated Nigel Benn in 1996?,Thulani Malinga,Steve Collins,Roy Jones,Gerald McClellan,B
On what make of motorcycle did Barry Sheene win the 500cc-world title in 1977?,Kawasaki,Suzuki,Mitsubishi,Yamaha,B
What part of the body does a turtle use to breathe?,Belly,Shell,Mouth,Anus,D
For how long is a dog pregnant?,9 Weeks,9 Days,9 Months,9 Fortnights,A
Where did The Flowerpot Men want to go in 1967?,New York,San Francisco,Woodstock,Memphis,B
James Bond was searching for what kind of airplane in 'Thunderball'?,707,Piper Cub,Vulkan,B-52,C
"Who wrote ""don't count your chickens before they are hatched""?",Aesop,Shakespeare,Ben Franklin,Chaucer,A
Which kind of animal did Florence Nightingale often carry around in her pocket?,Kitten,Puppy,Owl,Snake,C
'Goodbye Farewell and Amen' was the final episode of which TV series?,MASH,Dallas,Friends,The Muppet Show,A
"In which film do the words ""I love you"" save the planet earth?",The Day After Tomorrow,The 5th Element,Mars Attacks,Independence Day,B
What is the name of the man servant in 'Around the world in 80 days'?,Pas Partout,Cato,Giles,Machu Picchu,A
In which book is there an inn called Admiral Benbow?,Lord of the Rings,Gulliver?s Travels,Treasure Island,Peter Pan,C
Which actor appeared in the Cranberries music video Ridiculous Thought?,Bruce Willis,Donald Sutherland,George Clooney,Elijah Wood,D
How many earths would fit inside the sun?,circa 100,circa 1000000,circa 10000,circa 100000,B
What does a nidoligist study?,Waves,Clouds,Bird Nests,Caves,C
What is the more usual name for Roentgen Rays?,X Rays,Gamma Rays,Ultraviolet Rays,Magnetic Resonance,A
A 'Miller' is a move in which sport?,Ice Hockey,Trampolining,Diving,Chess,B
Festfolk was the original name for which group?,The Beach Boys,ABBA,Motorhead,Simon and Garfunkel,B
Hypermetropic people are what?,obese,underfed,moody,far sighted,D
Fredrick Sanger invented which life saver?,Insulin,Safety Pin,Inflatable Life Raft,Aspirin,A
Which NHL hockey team has won the most Stanley Cups?,Toronto Maple Leafs,Boston Bruins,Montreal Canadiens,New York Rangers,C
Herodotus is known as the father of what?,History,Medicine,Theatre,Music,A
The title of which Pink Floyd album is also a chapter in 'The Wind In The Willows'?,Wish you were here,The piper at the gates of dawn,Meddle,Animals,B
Anemophobia is the fear of what?,Spiders,The Dark,Fire,Wind,D
